date,merchant,category,amount,payment_method
2026-08-10 10:58:00,BookMyShow,entertainment,102,Credit Card
2026-08-10 15:00:00,Namma Metro,transportation,103,Net Banking
2026-08-10 19:36:00,Domino's,food_delivery,97,Debit Card
2026-08-10 21:15:00,Behrouz Biryani,food_delivery,130,Credit Card
2026-08-11 08:57:00,PVR Cinemas,entertainment,180,UPI
2026-08-11 09:36:00,Steam,entertainment,282,UPI
2026-08-11 12:06:00,Behrouz Biryani,food_delivery,96,Net Banking
2026-08-11 15:30:00,PVR Cinemas,entertainment,192,UPI
2026-08-12 13:00:00,Swiggy,food_delivery,104,Credit Card
2026-08-12 15:19:00,Ola,transportation,93,UPI
2026-08-12 18:37:00,Amazon Prime,subscriptions,299,Credit Card
2026-08-12 20:36:00,Mamaearth,beauty,161,Credit Card
2026-08-13 09:20:00,Blinkit,groceries,146,UPI
2026-08-13 09:23:00,Zomato,food_delivery,72,Credit Card
2026-08-13 13:50:00,Steam,entertainment,147,Debit Card
2026-08-13 14:28:00,Rapido,transportation,110,UPI
2026-08-13 16:56:00,Swiggy,food_delivery,87,UPI
2026-08-13 17:48:00,DMart,groceries,127,Debit Card
2026-08-13 19:39:00,Uber,transportation,61,UPI
2026-08-13 20:18:00,Instamart,groceries,218,UPI
2026-08-14 09:32:00,Behrouz Biryani,food_delivery,92,UPI
2026-08-14 11:23:00,Purplle,beauty,561,Credit Card
2026-08-14 11:53:00,Box8,food_delivery,122,UPI
2026-08-14 13:52:00,PVR Cinemas,entertainment,286,UPI
2026-08-14 15:33:00,Ola,transportation,94,UPI
2026-08-14 17:12:00,Mamaearth,beauty,325,Debit Card
2026-08-14 18:16:00,Box8,food_delivery,113,UPI
2026-08-14 21:47:00,Instamart,groceries,291,Credit Card
2026-08-14 22:13:00,BigBasket,groceries,199,Credit Card
2026-08-15 00:17:00,Domino's,food_delivery,144,UPI
2026-08-15 08:11:00,Instamart,groceries,170,UPI
2026-08-15 12:08:00,Swiggy,food_delivery,112,UPI
2026-08-15 12:29:00,Blinkit,groceries,154,Net Banking
2026-08-15 15:52:00,Ola,transportation,80,UPI
2026-08-15 16:14:00,Domino's,food_delivery,93,UPI
2026-08-15 19:39:00,Rapido,transportation,62,UPI
2026-08-15 20:48:00,Instamart,groceries,139,UPI
2026-08-15 21:01:00,Behrouz Biryani,food_delivery,107,Debit Card
2026-08-15 22:03:00,Nykaa,beauty,297,Net Banking
2026-08-15 22:31:00,Domino's,food_delivery,90,Credit Card
2026-08-16 15:26:00,Behrouz Biryani,food_delivery,65,Credit Card
2026-08-16 15:44:00,Rapido,transportation,98,UPI
2026-08-16 17:38:00,Box8,food_delivery,113,UPI
2026-08-16 21:51:00,Box8,food_delivery,127,Credit Card
2026-08-16 22:05:00,Domino's,food_delivery,69,UPI
2026-08-16 22:17:00,Instamart,groceries,138,Debit Card
2026-08-16 23:02:00,Box8,food_delivery,60,Debit Card
2026-08-17 01:56:00,Domino's,food_delivery,106,Net Banking
2026-08-17 12:15:00,Rapido,transportation,93,Debit Card
2026-08-17 13:44:00,Indian Oil Petrol Pump,transportation,101,Net Banking
2026-08-17 14:02:00,BigBasket,groceries,279,UPI
2026-08-17 14:35:00,Steam,entertainment,112,UPI
2026-08-17 20:49:00,Namma Metro,transportation,161,Credit Card
2026-08-17 23:53:00,Box8,food_delivery,111,UPI
2026-08-18 08:27:00,Purplle,beauty,442,UPI
2026-08-18 10:46:00,Ajio,clothing,334,UPI
2026-08-18 11:21:00,Mamaearth,beauty,244,UPI
2026-08-18 12:16:00,Zepto,groceries,302,Credit Card
2026-08-18 12:24:00,PVR Cinemas,entertainment,126,UPI
2026-08-18 15:26:00,YouTube Premium,subscriptions,149,Credit Card
2026-08-18 17:22:00,Domino's,food_delivery,114,UPI
2026-08-18 18:56:00,DMart,groceries,262,UPI
2026-08-19 01:11:00,Domino's,food_delivery,68,Net Banking
2026-08-19 01:12:00,Domino's,food_delivery,77,UPI
2026-08-19 15:07:00,Zara,clothing,262,UPI
2026-08-19 15:32:00,BookMyShow,entertainment,171,UPI
2026-08-19 16:58:00,Uber,transportation,94,UPI
2026-08-20 12:41:00,BigBasket,groceries,90,Net Banking
2026-08-20 13:17:00,RedBus,travel,908,UPI
2026-08-20 13:41:00,Rapido,transportation,71,Credit Card
2026-08-20 17:41:00,Instamart,groceries,239,UPI
2026-08-20 18:19:00,BookMyShow,entertainment,196,UPI
2026-08-20 22:09:00,Behrouz Biryani,food_delivery,106,Credit Card
2026-08-21 00:47:00,Behrouz Biryani,food_delivery,87,Net Banking
2026-08-21 01:16:00,Zomato,food_delivery,96,Credit Card
2026-08-21 10:11:00,Instamart,groceries,310,Debit Card
2026-08-21 18:09:00,BookMyShow,entertainment,172,UPI
2026-08-21 21:53:00,Box8,food_delivery,117,Credit Card
2026-08-21 22:07:00,Box8,food_delivery,149,UPI
2026-08-22 08:22:00,Croma,electronics,693,Net Banking
2026-08-22 08:35:00,Domino's,food_delivery,78,UPI
2026-08-22 11:05:00,Box8,food_delivery,109,UPI
2026-08-22 11:36:00,PVR Cinemas,entertainment,139,Credit Card
2026-08-22 12:28:00,Ola,transportation,132,Credit Card
2026-08-22 12:51:00,BigBasket,groceries,234,UPI
2026-08-22 13:06:00,Swiggy,food_delivery,112,UPI
2026-08-22 16:06:00,Namma Metro,transportation,92,UPI
2026-08-22 16:16:00,DMart,groceries,158,UPI
2026-08-22 20:57:00,Rapido,transportation,59,UPI
2026-08-22 22:43:00,Box8,food_delivery,100,UPI
2026-08-23 11:52:00,Zepto,groceries,159,UPI
2026-08-23 11:54:00,Ola,transportation,73,Credit Card
2026-08-23 19:10:00,Zara,clothing,940,Credit Card
2026-08-24 00:09:00,Swiggy,food_delivery,89,UPI
2026-08-24 08:04:00,Sephora,beauty,602,Credit Card
2026-08-24 12:13:00,Namma Metro,transportation,60,Credit Card
2026-08-24 16:18:00,BigBasket,groceries,303,UPI
2026-08-24 17:10:00,Purplle,beauty,306,Credit Card
2026-08-24 17:19:00,Instamart,groceries,373,Credit Card
2026-08-25 00:11:00,Zomato,food_delivery,90,UPI
2026-08-25 00:38:00,Box8,food_delivery,79,UPI
2026-08-25 08:26:00,Ola,transportation,99,Credit Card
2026-08-25 12:37:00,HealthifyMe,fitness,530,Credit Card
2026-08-25 16:49:00,Behrouz Biryani,food_delivery,110,UPI
2026-08-25 17:16:00,Box8,food_delivery,74,UPI
2026-08-25 18:13:00,Box8,food_delivery,137,UPI
2026-08-25 23:55:00,Swiggy,food_delivery,78,UPI
2026-08-26 12:20:00,Box8,food_delivery,52,UPI
2026-08-26 17:03:00,Zepto,groceries,293,Debit Card
2026-08-26 18:03:00,Uber,transportation,48,UPI
2026-08-26 22:08:00,IndiGo,travel,1482,Credit Card
2026-08-26 23:46:00,Domino's,food_delivery,65,UPI
2026-08-27 08:08:00,Zomato,food_delivery,66,UPI
2026-08-27 10:14:00,Namma Metro,transportation,110,UPI
2026-08-27 10:41:00,Zomato,food_delivery,67,Credit Card
2026-08-27 12:54:00,BigBasket,groceries,303,Debit Card
2026-08-27 13:34:00,Namma Metro,transportation,88,UPI
2026-08-27 19:15:00,Zomato,food_delivery,93,UPI
2026-08-27 21:05:00,Rapido,transportation,76,UPI
2026-08-27 22:32:00,Behrouz Biryani,food_delivery,74,Credit Card
2026-08-28 11:16:00,Domino's,food_delivery,70,UPI
2026-08-28 12:47:00,Ola,transportation,70,Debit Card
2026-08-28 14:07:00,BookMyShow,entertainment,128,UPI
2026-08-28 14:11:00,Blinkit,groceries,273,Credit Card
2026-08-28 21:46:00,Box8,food_delivery,97,UPI
2026-08-28 22:24:00,Nykaa,beauty,357,UPI
2026-08-29 10:37:00,HealthifyMe,fitness,437,Credit Card
2026-08-29 11:20:00,Zomato,food_delivery,74,UPI
2026-08-29 12:04:00,Swiggy,food_delivery,65,UPI
2026-08-29 20:24:00,Rapido,transportation,82,UPI
2026-08-30 08:28:00,Nykaa,beauty,576,UPI
2026-08-30 10:24:00,Domino's,food_delivery,103,UPI
2026-08-30 13:42:00,H&M,clothing,683,UPI
2026-08-30 13:44:00,The Body Shop,beauty,605,UPI
2026-08-31 17:28:00,Steam,entertainment,164,Credit Card
2026-08-31 22:55:00,Swiggy,food_delivery,100,Debit Card
2026-08-31 23:00:00,Zomato,food_delivery,66,UPI
2026-09-01 00:38:00,Swiggy,food_delivery,88,UPI
2026-09-01 00:48:00,Domino's,food_delivery,94,UPI
2026-09-01 10:20:00,Rapido,transportation,68,Credit Card
2026-09-01 11:19:00,Zomato,food_delivery,84,Debit Card
2026-09-01 12:34:00,Uber,transportation,69,Credit Card
2026-09-01 15:02:00,Box8,food_delivery,89,Debit Card
2026-09-01 15:06:00,H&M,clothing,322,UPI
2026-09-01 15:08:00,Box8,food_delivery,105,Credit Card
2026-09-01 15:55:00,Swiggy,food_delivery,84,Credit Card
